amount,hour,num_tx_past_day,is_fraud
1512.06,5,23,0
1630.18,5,26,0
1523.83,4,16,0
2444.37,18,14,1
1729.81,17,27,1
1636.57,14,17,1
1073.57,4,19,1
1609.02,21,15,0
1435.05,15,25,0
1720.12,21,10,0
2360.88,18,11,1
991.77,8,16,1
1118.88,3,29,0
1282.16,5,15,0
1040.54,16,20,1
1200.03,0,27,0
2372.46,9,25,0
1255.77,12,14,0
2049.3,13,19,0
581.13,0,29,1
1097.31,3,29,0
1905.18,11,11,0
1404.51,12,24,0
2279.72,8,10,0
1370.2,23,22,0
1747.12,7,25,1
1670.76,9,28,1
1698.26,20,14,0
1811.37,17,27,1
1522.56,18,13,0
887.36,11,24,0
637.93,15,28,0
1004.09,19,15,1
690.39,10,28,0
726.26,21,12,0
1061.17,13,16,0
1685.03,22,29,0
1186.45,14,19,0
2055.7,12,26,0
2430.77,7,13,0
1163.68,13,15,0
972.57,19,23,0
1875.66,2,24,0
1645.33,2,29,1
2039.11,9,28,0
1733.83,2,11,1
1059.04,9,27,0
2322.21,0,10,1
1645.87,20,25,0
1936.62,21,10,0
1844.75,2,24,0
2039.59,7,23,1
2004.81,8,22,0
1320.61,1,16,0
575.85,22,29,0
1469.95,14,29,0
2290.7,2,25,1
789.1,15,28,1
2064.02,16,22,0
1810.73,5,12,0
1911.37,22,15,1
936.21,23,29,0
650.66,20,22,0
1035.56,5,27,1
1746.47,4,17,0
1277.16,10,18,0
1009.59,7,28,1
1294.12,13,22,0
1955.78,10,14,1
1011.03,16,21,0
1589.43,13,12,1
1312.78,9,21,1
2486.14,9,19,0
2207.72,4,13,1
1945.02,17,13,1
1601.25,10,27,1
1296.53,8,28,0
1855.6,10,11,0
2184.34,21,26,0
779.98,16,27,0
579.79,9,11,0
1419.24,22,10,1
1039.42,21,21,0
2270.32,22,24,0
1027.67,2,18,1
2326.19,23,27,0
1502.1,5,26,1
2170.0,11,28,0
1406.28,10,19,0
1932.3,5,22,1
2455.92,19,23,1
832.15,12,12,1
1016.02,21,21,0
1531.24,7,19,0
1257.03,0,27,1
2103.06,11,16,1
2346.87,15,13,0
1645.25,14,29,1
765.42,16,23,0
1253.08,17,10,0
1110.91,19,21,0
1789.91,14,21,0
1007.99,20,11,0
670.07,7,15,0
1521.01,17,15,0
1059.72,23,15,1
1494.58,11,19,0
1191.6,8,11,1
2030.23,5,10,1
1016.95,23,12,1
1961.64,17,20,0
729.96,5,25,0
2060.92,19,18,0
2494.43,5,21,0
1062.99,22,15,0
2499.37,19,17,1
1743.87,16,11,0
1640.39,7,24,0
1011.24,12,15,1
1840.34,0,14,1
1393.1,14,26,1
1686.91,9,21,0
1458.93,12,23,1
2064.24,23,22,1
1554.04,11,12,0
1166.47,0,12,1
1136.78,8,17,1
1620.92,8,28,1
2434.37,2,14,0
703.03,12,16,1
541.95,1,21,0
1399.93,15,11,0
861.6,1,25,1
2315.21,6,13,0
1635.95,23,12,1
2139.34,18,21,0
2135.0,16,19,0
522.8,16,24,1
2260.05,5,25,0
1350.96,21,18,0
953.0,7,29,0
2235.79,23,13,0
2167.84,8,24,1
2244.82,10,24,1
2271.44,9,12,0
2416.72,2,25,0
1010.92,10,10,0
984.5,4,20,0
