amount,hour,num_tx_past_day,is_fraud
387.2,14,0,0
220.0,18,0,0
429.44,17,2,1
348.99,3,8,0
47.99,19,4,1
487.84,12,7,0
380.81,7,4,0
393.25,12,1,0
64.93,23,3,0
225.74,20,0,0
186.03,20,7,0
463.46,11,1,0
322.29,18,3,1
411.56,9,9,1
222.26,16,5,0
114.39,15,4,0
277.74,5,5,0
32.84,6,7,0
413.99,1,2,0
316.2,3,6,0
379.29,10,8,0
177.91,11,5,0
485.38,3,4,1
446.67,10,1,0
389.41,14,2,1
98.12,5,9,0
233.89,8,5,0
22.86,8,3,0
77.99,12,4,0
341.84,8,5,0
372.64,17,5,1
483.79,7,6,0
163.59,10,2,0
185.86,9,6,0
235.31,4,4,0
95.55,16,9,0
65.83,5,1,0
238.38,7,1,0
114.23,19,4,0
335.24,22,5,0
219.14,16,6,0
416.51,21,4,0
350.43,20,9,0
156.87,11,4,0
416.3,18,1,0
402.58,7,1,0
194.35,11,9,0
144.88,12,1,0
341.57,23,9,0
70.74,20,2,0
100.75,11,0,0
4.67,15,3,0
393.68,4,6,0
332.76,19,4,0
352.88,13,7,0
390.58,12,6,0
230.0,18,4,0
284.8,15,6,0
70.76,1,9,0
58.15,6,4,0
334.53,4,1,0
236.08,17,4,0
283.05,0,8,0
382.73,4,2,0
317.72,14,9,0
277.24,16,5,0
280.04,12,6,0
152.67,20,3,1
16.38,22,9,0
218.92,3,0,0
108.08,22,2,0
204.86,14,4,0
426.85,15,4,1
117.74,2,4,0
30.09,14,1,0
141.41,17,2,0
147.5,13,0,1
331.3,2,5,0
278.96,12,3,0
392.17,22,5,0
332.49,17,5,0
203.79,3,7,0
407.2,23,5,0
84.32,23,6,0
12.33,4,5,0
45.93,19,6,0
361.46,9,6,0
231.48,14,3,1
81.47,10,2,0
251.02,18,7,0
77.0,23,3,0
348.46,19,5,0
223.63,22,1,0
191.13,22,4,0
151.45,2,5,1
315.51,6,6,0
181.54,17,5,0
44.74,14,3,0
59.88,1,9,0
480.99,2,5,0
454.38,12,8,0
350.15,14,7,0
133.67,4,5,0
484.62,4,8,0
389.6,3,1,0
358.73,13,9,0
225.23,0,8,0
136.85,13,5,0
49.1,11,7,0
451.4,11,5,0
228.43,16,2,1
101.98,12,7,0
153.67,17,2,0
290.03,18,3,1
89.21,22,5,0
428.45,19,8,0
379.5,12,3,0
360.01,11,4,0
216.61,5,0,0
314.03,14,1,1
292.46,3,0,0
325.27,22,0,0
43.14,20,8,0
208.49,2,8,1
21.77,18,8,0
247.5,2,0,0
165.6,17,0,0
73.12,2,2,0
52.6,11,5,0
294.23,15,3,0
86.13,17,4,0
462.63,10,1,0
290.95,22,7,0
174.09,18,3,0
295.87,4,0,0
12.38,16,7,0
479.32,17,9,0
241.67,8,0,0
391.58,17,4,0
42.28,21,8,0
243.84,19,7,0
245.86,18,8,0
468.98,15,4,0
286.29,6,3,0
237.27,19,7,0
134.22,8,1,0
166.45,12,2,0
260.82,7,6,0
220.02,7,6,0
11.78,3,1,0
413.32,23,5,0
448.18,3,3,0
70.98,2,5,0
277.46,22,9,0
55.18,13,0,0
336.45,10,9,0
141.34,17,4,0
330.05,9,7,1
363.77,3,4,0
384.56,17,3,0
54.76,4,7,0
458.09,13,6,0
115.88,22,1,0
19.67,22,7,0
277.87,8,7,1
186.09,18,3,0
415.07,14,9,0
404.32,11,6,0
159.25,3,3,0
476.5,9,0,0
146.17,15,6,0
258.01,23,2,0
128.73,0,7,0
468.09,17,5,0
83.14,20,4,0
23.41,22,1,0
218.11,10,7,0
496.2,2,1,0
445.95,6,4,0
374.56,20,8,0
445.51,21,9,0
446.83,15,9,1
259.91,2,9,0
158.65,2,5,0
386.23,11,2,1
331.17,14,8,0
187.46,0,8,0
48.14,16,9,0
373.65,13,6,0
131.97,0,1,0
468.47,2,5,0
121.24,10,4,0
62.26,17,8,0
415.73,19,3,0
77.49,10,3,0
90.45,7,0,0
300.09,23,8,0
437.41,11,7,0
99.02,7,0,0
155.85,10,4,0
388.93,0,4,0
485.94,7,4,0
250.87,12,9,0
72.8,22,1,0
7.95,17,3,0
115.6,18,1,0
66.78,13,2,0
339.15,2,9,0
61.79,9,9,0
253.66,23,0,1
347.44,1,6,0
290.98,21,2,0
100.69,16,1,1
402.26,6,2,0
357.99,18,1,0
369.75,20,4,0
66.4,1,9,0
62.75,2,5,0
463.85,15,7,0
199.39,23,4,0
151.17,0,0,0
244.8,15,0,0
331.77,3,2,0
477.86,15,2,0
143.94,14,8,0
462.48,2,8,0
13.4,16,8,0
278.04,21,6,0
317.35,20,5,0
53.84,0,6,0
71.03,5,4,0
210.14,5,6,0
483.15,10,7,0
298.43,3,7,0
466.58,20,6,0
402.38,18,0,0
234.22,19,7,0
392.6,4,3,1
9.9,0,7,0
55.46,21,5,0
414.88,6,8,0
398.61,15,3,0
117.09,21,9,0
265.85,0,8,0
303.4,0,3,0
434.0,0,4,0
301.95,3,5,0
206.87,1,7,0
187.72,19,6,0
213.52,14,8,1
326.31,23,3,0
433.88,19,5,0
227.49,23,4,0
124.67,5,9,1
119.09,6,3,0
373.26,20,5,0
408.47,5,1,0
53.53,1,8,0
34.21,16,3,0
297.62,19,3,0
73.94,23,5,0
412.51,22,4,0
155.86,2,8,0
72.79,18,5,0
460.56,20,5,0
83.6,16,1,1
143.08,19,0,0
77.65,20,3,0
58.63,10,9,0
11.55,0,9,0
28.64,10,6,0
88.15,4,6,0
27.64,2,3,1
295.98,2,1,0
340.68,16,0,0
197.42,12,3,0
159.68,12,3,0
252.76,17,1,0
437.63,13,2,0
425.71,15,0,0
22.69,2,6,0
91.57,20,9,0
119.14,10,6,1
125.44,3,4,0
286.05,19,4,0
208.71,17,3,0
25.58,1,1,0
187.43,4,5,0
262.35,0,5,0
51.73,6,0,0
416.9,2,4,0
26.93,17,2,1
462.5,12,1,0
50.46,23,7,0
421.94,17,5,0
451.42,14,6,0
489.81,12,7,0
401.21,1,9,0
389.96,1,8,0
321.6,14,6,0
